"deal_id","co_id","co_name","co_hq","co_city","co_state","co_verticals","deal_date","deal_vintage","deal_number","deal_series","deal_vc_round","deal_type","deal_premoney","deal_postmoney","deal_size","deal_pct_acq","deal_investor_count","investor_id","investor_name","investor_gp_id","investor_gp","fund_id","fund_name"
"124700-77T","279831-16","5rusa","Utica, NY",Utica,NY,"'{""CleanTech"",""LOHAS & Wellness""}'",,,1,,,Accelerator/Incubator,,,,,1,"'{""95578-21""}'","'{""The Tech Garden""}'","'{""95578-21-None""}'",'{}','{}','{}'
"56305-45T","81996-76","5th Avenue Media","New York, NY",NewYork,NY,'{}',,,1,,,Bankruptcy: Liquidation,,,,,,'{}','{}','{}','{}','{}','{}'
"148386-25T","372099-97","5th Avenue Theatre Association","Seattle, WA",Seattle,WA,'{}',2020-04-15,2020.0,1,,,Debt - PPP,,,2.69,,,'{}','{}','{}','{}','{}','{}'
"173785-15T","467464-78","5th Company Brewing","Perryville, MD",Perryville,MD,'{}',2020-04-11,2020.0,1,,,Debt - General,,,1.88,,,'{}','{}','{}','{}','{}','{}'
"55375-84T","122010-22","5th Element Tracking","Boston, MA",Boston,MA,"'{""TMT""}'",2015-12-09,2015.0,1,,,PE Growth/Expansion,,,1.5,,1,"'{""10068-22""}'","'{""Equus Total Return (NYS: EQS)""}'","'{""10068-22-None""}'",'{}','{}','{}'
"20647-81T","53876-44","5th Finger","San Francisco, CA",SanFrancisco,CA,"'{""Marketing Tech"",""Mobile"",""Mobile Commerce"",""TMT""}'",2008-06-11,2008.0,2,,"2nd Round",Early Stage VC,,,7.0,,1,"'{""11305-27""}'","'{""Starfish Ventures""}'","'{""11305-27-None""}'",'{}',"'{""11281-33F""}'","'{""Starfish Technology Fund I""}'"
"20647-72T","53876-44","5th Finger","San Francisco, CA",SanFrancisco,CA,"'{""Marketing Tech"",""Mobile"",""Mobile Commerce"",""TMT""}'",,,1,,"1st Round",Early Stage VC,,,,,1,"'{""11663-20""}'","'{""Jolimont Capital""}'","'{""11663-20-None""}'",'{}','{}','{}'
"171627-13T","235832-86","5th Kind","Los Angeles, CA",LosAngeles,CA,'{}',2021-04-28,2021.0,1,,Angel,Angel (individual),,,5.0,,,'{}','{}','{}','{}','{}','{}'
"21980-62T","54889-84","5to1.com","Seattle, WA",Seattle,WA,"'{""AdTech"",""TMT""}'",2009-12-14,2009.0,2,,"2nd Round",Early Stage VC,,,6.3,,4,"'{""11174-77"",""106273-81"",""11276-65"",""12668-50""}'","'{""Fuse Capital"",""Phillip Frost"",""Prism Venture Management"",""The Frost Group""}'","'{""11174-77-Ross Levinsohn"",""106273-81-Phillip Frost"",""11276-65-Woody Benson"",""12668-50-None""}'","'{""Ross Levinsohn"",""Phillip Frost"",""Woody Benson"",}'","'{""11091-52F"",""11239-75F""}'","'{""ComVentures VI"",""Prism Venture Partners V""}'"
"21980-71T","54889-84","5to1.com","Seattle, WA",Seattle,WA,"'{""AdTech"",""TMT""}'",2010-06-14,2010.0,3,,,Debt - General,,,1.83,,2,"'{""11174-77"",""11276-65""}'","'{""Fuse Capital"",""Prism Venture Management""}'","'{""11174-77-Ross Levinsohn"",""11276-65-Woody Benson""}'","'{""Ross Levinsohn"",""Woody Benson""}'","'{""11091-52F"",""11239-84F""}'","'{""ComVentures VI"",""Prism Venture Partners V-A""}'"
"21980-80T","54889-84","5to1.com","Seattle, WA",Seattle,WA,"'{""AdTech"",""TMT""}'",2010-10-14,2010.0,4,,,Debt - General,,,0.6,,,'{}','{}','{}','{}','{}','{}'
"21980-53T","54889-84","5to1.com","Seattle, WA",Seattle,WA,"'{""AdTech"",""TMT""}'",2008-11-26,2008.0,1,,"1st Round",Early Stage VC,,,0.45,,2,"'{""11174-77"",""106577-56""}'","'{""Fuse Capital"",""Jason Hirschhorn""}'","'{""11174-77-Ross Levinsohn"",""106577-56-Jason Hirschhorn""}'","'{""Ross Levinsohn"",""Jason Hirschhorn""}'","'{""11091-52F""}'","'{""ComVentures VI""}'"
"147977-65T","81713-26","5W Public Relations","New York, NY",NewYork,NY,'{}',2020-04-16,2020.0,1,,,Debt - PPP,,,2.32,,,'{}','{}','{}','{}','{}','{}'
"105669-19T","228543-76","5x5 Telecom","Pasadena, CA",Pasadena,CA,"'{""TMT""}'",2016-12-14,2016.0,1,Series A,"1st Round",Early Stage VC,,,0.1,,1,"'{""266299-12""}'","'{""Bullet Point Network""}'","'{""266299-12-None""}'",'{}','{}','{}'
"165616-48T","277620-67","6 Degrees Health","Hillsboro, OR",Hillsboro,OR,"'{""FinTech"",""InsurTech""}'",2020-12-16,2020.0,3,,,Debt - General,,,,,,'{}','{}','{}','{}','{}','{}'
"165694-15T","277620-67","6 Degrees Health","Hillsboro, OR",Hillsboro,OR,"'{""FinTech"",""InsurTech""}'",2020-04-15,2020.0,1,,,Debt - PPP,,,0.87,,,'{}','{}','{}','{}','{}','{}'
"155888-38T","277620-67","6 Degrees Health","Hillsboro, OR",Hillsboro,OR,"'{""FinTech"",""InsurTech""}'",2020-09-09,2020.0,2,,,PE Growth/Expansion,,,,,1,"'{""11188-09""}'","'{""FTV Capital""}'","'{""11188-09-Alexander Mason""}'","'{""Alexander Mason""}'","'{""16573-33F""}'","'{""FTV VI""}'"
"172327-96T","466510-06","6 Jays","Springville, UT",Springville,UT,"'{""E-Commerce""}'",2020-09-21,2020.0,1,,,Accelerator/Incubator,,,,,1,"'{""223900-66""}'","'{""RevRoad""}'","'{""223900-66-AJ Rounds""}'","'{""AJ Rounds""}'",'{}','{}'
"150505-12T","327843-01","6 Meridian","Wichita, KS",Wichita,KS,'{}',2020-04-03,2020.0,1,,,Debt - PPP,,,0.39,,,'{}','{}','{}','{}','{}','{}'
"185656-06T","267973-21","60 Decibels","New York, NY",NewYork,NY,'{}',2021-12-21,2021.0,2,,,PE Growth/Expansion,,,,,1,"'{""158662-99""}'","'{""FPE Capital""}'","'{""158662-99-David Barbour""}'","'{""David Barbour""}'","'{""15748-93F""}'","'{""FPE Fund II""}'"
"119726-38T","267973-21","60 Decibels","New York, NY",NewYork,NY,'{}',2019-06-05,2019.0,1,,"1st Round",Later Stage VC,,,1.7,,2,"'{""51260-14"",""111472-30""}'","'{""Acumen Fund"",""Ceniarth""}'","'{""51260-14-Jacqueline Novogratz"",""111472-30-Diane Isenberg""}'","'{""Jacqueline Novogratz"",""Diane Isenberg""}'","'{""15927-58F""}'","'{""Acumen India Fund I""}'"
"112823-20T","233709-40","60 Degrees Pharma","Washington, DC",Washington,DC,"'{""HealthTech"",""Life Sciences""}'",2016-01-01,2016.0,3,,,Grant,,,4.0,,1,"'{""152777-98""}'","'{""Knight Pharmaceuticals""}'","'{""152777-98-None""}'",'{}','{}','{}'
"112823-65T","233709-40","60 Degrees Pharma","Washington, DC",Washington,DC,"'{""HealthTech"",""Life Sciences""}'",2015-01-01,2015.0,2,,,Grant,,,4.0,,1,"'{""233776-99""}'","'{""Singapore Ministry of Health""}'","'{""233776-99-None""}'",'{}','{}','{}'
"112822-75T","233709-40","60 Degrees Pharma","Washington, DC",Washington,DC,"'{""HealthTech"",""Life Sciences""}'",2012-01-01,2012.0,1,,Angel,Angel (individual),,,2.0,,,'{}','{}','{}','{}','{}','{}'
"16003-90T","40651-12","60 Erie Street","Hoboken, NJ",Hoboken,NJ,'{}',,,1,,,PE Growth/Expansion,,,,,1,"'{""10607-05""}'","'{""Atlantic Capital Group""}'","'{""10607-05-None""}'",'{}','{}','{}'
"146870-38T","364655-98","60 Grit Studios","Temecula, CA",Temecula,CA,'{}',2020-04-14,2020.0,1,,,Debt - PPP,,,,,,'{}','{}','{}','{}','{}','{}'
"127342-54T","10383-58","600 B Street","San Diego, CA",SanDiego,CA,'{}',2012-01-01,2012.0,4,,,Bankruptcy: Admin/Reorg,,,,,,'{}','{}','{}','{}','{}','{}'
"99752-59T","121801-15","602Care","Santa Clarita, CA",SantaClarita,CA,"'{""HealthTech"",""TMT""}'",2016-11-01,2016.0,2,,,Out of Business,,,,,,'{}','{}','{}','{}','{}','{}'
"155809-72T","438638-86","603 Self Storage","Candia, NH",Candia,NH,'{}',2018-10-10,2018.0,1,,,Debt - General,,,0.98,,,'{}','{}','{}','{}','{}','{}'
"146240-47T","437389-30","603Optx","Keene, NH",Keene,NH,'{}',2019-04-11,2019.0,1,,,Debt - General,,,0.14,,,'{}','{}','{}','{}','{}','{}'
"147191-23T","361900-63","605 Companies","Sioux Falls, SD",SiouxFalls,SD,'{}',2020-04-03,2020.0,1,,,Debt - PPP,,,,,,'{}','{}','{}','{}','{}','{}'
"115418-44T","264517-39","60Hertz","Anchorage, AK",Anchorage,AK,"'{""Infrastructure"",""SaaS""}'",,,2,,,Product Crowdfunding,,,0.44,,,'{}','{}','{}','{}','{}','{}'
"129360-34T","264517-39","60Hertz","Anchorage, AK",Anchorage,AK,"'{""Infrastructure"",""SaaS""}'",2019-04-22,2019.0,4,,,Grant,,,0.01,,1,"'{""399187-90""}'","'{""High North Young Entrepreneur""}'","'{""399187-90-None""}'",'{}','{}','{}'
"173195-20T","264517-39","60Hertz","Anchorage, AK",Anchorage,AK,"'{""Infrastructure"",""SaaS""}'",2021-05-26,2021.0,7,Series 3,"3rd Round",Later Stage VC,,,1.3,,6,"'{""467067-07"",""51631-48"",""161124-76"",""11256-85"",""163559-71"",""97631-29""}'","'{""Alaska Investor Network"",""Clean Energy Venture Group"",""Climate Impact Capital"",""E8"",""Factor[e] Ventures"",""SeaChange Fund""}'","'{""467067-07-None"",""51631-48-John Harper"",""161124-76-Alexander Rozenfeld"",""11256-85-None"",""163559-71-Morgan DeFoort"",""97631-29-Susan Preston""}'","'{,""John Harper"",""Alexander Rozenfeld"",,""Morgan DeFoort"",""Susan Preston""}'","'{""16179-85F"",""18894-88F"",""14732-47F""}'","'{""Clean Energy Venture Fund I"",""Climate Impact Capital Power I"",""Seattle Angel Fund I""}'"
"173204-29T","264517-39","60Hertz","Anchorage, AK",Anchorage,AK,"'{""Infrastructure"",""SaaS""}'",2021-05-03,2021.0,6,,,Grant,,,0.05,,1,"'{""264880-45""}'","'{""Berkeley Haas""}'","'{""264880-45-None""}'",'{}','{}','{}'
"115417-72T","264517-39","60Hertz","Anchorage, AK",Anchorage,AK,"'{""Infrastructure"",""SaaS""}'",2017-10-13,2017.0,1,,,Accelerator/Incubator,,,0.08,,1,"'{""188070-04""}'","'{""Launch Alaska""}'","'{""188070-04-None""}'",'{}','{}','{}'
"82270-00T","170462-71","6105 Delmar Development","Saint Louis, MO",SaintLouis,MO,'{}',2016-07-08,2016.0,1,,,Debt - General,,,52.0,,,'{}','{}','{}','{}','{}','{}'
"51987-16T","56340-46","62 Mile Club","Tampa, FL",Tampa,FL,"'{""TMT""}'",,,2,,,Bankruptcy: Liquidation,,,,,,'{}','{}','{}','{}','{}','{}'
"25018-48T","56340-46","62 Mile Club","Tampa, FL",Tampa,FL,"'{""TMT""}'",,,1,,"1st Round",Early Stage VC,,,,,1,"'{""53931-25""}'","'{""Desert Sky Holdings""}'","'{""53931-25-Robert Jacobson""}'","'{""Robert Jacobson""}'",'{}','{}'
"150527-17T","344839-60","620 SC Gp","Austin, TX",Austin,TX,'{}',2020-04-11,2020.0,1,,,Debt - PPP,,,,,,'{}','{}','{}','{}','{}','{}'
"104104-54T","227443-24","62nd Street Broadcasting","East Lansing, MI",EastLansing,MI,"'{""TMT""}'",,,2,,,Undetermined,,,,,,'{}','{}','{}','{}','{}','{}'
"97757-02T","98844-58","6350 Natural Foods","Grand Junction, CO",GrandJunction,CO,"'{""LOHAS & Wellness""}'",2014-07-25,2014.0,2,,Angel,Angel (individual),,,0.09,,,'{}','{}','{}','{}','{}','{}'
"38779-30T","98844-58","6350 Natural Foods","Grand Junction, CO",GrandJunction,CO,"'{""LOHAS & Wellness""}'",2013-07-16,2013.0,1,,,Accelerator/Incubator,,,,,1,"'{""96811-66""}'","'{""Telluride Venture Network""}'","'{""96811-66-None""}'",'{}','{}','{}'
"45741-16T","108083-08","64 Audio","Portland, OR",Portland,OR,'{}',2015-02-10,2015.0,1,,,Product Crowdfunding,,,0.65,,,'{}','{}','{}','{}','{}','{}'
"130575-34T","81997-21","64 Pixels","Mountain View, CA",MountainView,CA,"'{""TMT""}'",2019-10-01,2019.0,2,,,Out of Business,,,,,,'{}','{}','{}','{}','{}','{}'
"53890-30T","81997-21","64 Pixels","Mountain View, CA",MountainView,CA,"'{""TMT""}'",2010-10-06,2010.0,1,,"1st Round",Seed Round,,,0.1,,2,"'{""51006-88"",""105976-18""}'","'{""500 Startups"",""David McClure""}'","'{""51006-88-None"",""105976-18-David McClure""}'","'{,""David McClure""}'","'{""13474-72F""}'","'{""500 Startups Fund I""}'"
"116198-83T","265254-31","64 Solar","Port Chester, NY",PortChester,NY,"'{""CleanTech""}'",2019-01-01,2019.0,1,,,PE Growth/Expansion,,,,,1,"'{""157030-21""}'","'{""Innova Capital Partners""}'","'{""157030-21-None""}'",'{}','{}','{}'
"39844-63T","64744-84","640 Labs","Chicago, IL",Chicago,IL,"'{""Big Data"",""SaaS"",""TMT""}'",2014-10-20,2014.0,2,,,Convertible Debt,,,0.35,,1,"'{""52359-49""}'","'{""Serra Ventures""}'","'{""52359-49-None""}'",'{}',"'{""14223-79F""}'","'{""Serra Capital II""}'"
