"co_id","deal_id","co_name","co_hq","co_city","co_state","co_verticals","deal_date","deal_vintage","deal_number","deal_series","deal_vc_round","deal_type","deal_premoney","deal_postmoney","deal_size","deal_pct_acq","deal_investor_count","investor_id","investor_name","investor_gp_id","investor_gp","fund_id","fund_name"
"41057-83","32660-11T","MRO Software","Bedford, MA","Bedford","MA","{Industrials,TMT}","2001-02-01",2001,3,,,"Secondary Transaction - Open Market",,,,,,"{}","{}","{}","{}","{}","{}"
"357567-76","150989-95T","Ms Center","New York, NY","NewYork","NY","{}","2020-05-01",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"97838-11","71806-60T","Tech Briefs Media","New York, NY","NewYork","NY","{TMT}","2012-04-01",2012,1,,,"Merger/Acquisition",,,,100,1,"{104698-54}","{""SAE International""}","{""104698-54-David Schutt""}","{""David Schutt""}","{}","{}"
"437465-98","140206-60T","Tech-Holdings","Carefree, AZ","Carefree","AZ","{Cannabis,""LOHAS & Wellness""}","2020-07-22",2020,1,,,"Merger/Acquisition",,7.5,7.5,100,1,"{398939-95}","{""Vertical Wellness""}","{""398939-95-Kathy Ireland""}","{""Kathy Ireland""}","{}","{}"
"12022-30","10982-35T","Tech-Sym","Houston, TX","Houston","TX","{Manufacturing,TMT}","2000-09-29",2000,1,,,"Buyout/LBO",,122.5,122.5,100,2,"{10881-91,10227-34}","{""Integrated Defense Technologies"",""Veritas Capital""}","{""10881-91-Thomas Keenan"",10227-34-None}","{""Thomas Keenan"",NULL}","{11442-34F}","{""Veritas Capital Fund""}"
"124824-70","65744-56T","Techni-Core","Skokie, IL","Skokie","IL","{Industrials,Manufacturing}","2008-10-01",2008,1,,,"Merger/Acquisition",,383,383,100,1,"{41340-43}","{""Woodward (NAS: WWD)""}","{41340-43-None}","{NULL}","{}","{}"
"222295-60","135982-99T","Techni-Pak","Quinque, VA","Quinque","VA","{Manufacturing}",,,2,,,"Merger/Acquisition",,,,100,,"{}","{}","{}","{}","{}","{}"
"222295-60","97372-36T","Techni-Pak","Quinque, VA","Quinque","VA","{Manufacturing}","2006-12-25",2006,1,,,"Buyout/LBO",,,,100,1,"{169488-82}","{""Mulberry Investment Group""}","{""169488-82-Josh Wishnack""}","{""Josh Wishnack""}","{}","{}"
"122712-94","61510-24T","Technical Aero Services","Miami, FL","Miami","FL","{Industrials}","2009-01-08",2009,1,,,"Merger/Acquisition",,,,100,1,"{42109-66}","{""Air Transport Group Holdings""}","{""42109-66-Arnold Leonora""}","{""Arnold Leonora""}","{}","{}"
"481175-83","179919-64T","Technical Solutions (Houston)","Houston, TX","Houston","TX","{}","2015-04-15",2015,1,,,"Merger/Acquisition",,,,100,1,"{129701-62}","{""Millenia Medical Staffing""}","{""129701-62-Casimir Danielowski""}","{""Casimir Danielowski""}","{}","{}"
"13336-30","13862-62T","Technicarbon Company","Springfield, MA","Springfield","MA","{Manufacturing}","1993-04-16",1993,1,,,"Buyout/LBO",,,,100,1,"{10144-27}","{""Strategic Investments & Holdings""}","{10144-27-None}","{NULL}","{}","{}"
"233152-75","112028-05T","Technicolor (Sound Lab)","Burbank, CA","Burbank","CA","{""Augmented Reality"",Gaming}","2018-09-18",2018,1,,,"Merger/Acquisition",,,,100,1,"{61568-47}","{""Keywords Studios (LON: KWS)""}","{""61568-47-Andrew Day""}","{""Andrew Day""}","{}","{}"
"228599-83","156057-22T","Amesite (NAS: AMST)","Detroit, MI","Detroit","MI","{""Artificial Intelligence & Machine Learning"",EdTech,SaaS,TMT}","2020-01-01",2020,3,,,"Early Stage VC",,,5.5,,,"{}","{}","{}","{}","{}","{}"
"228599-83","184762-09T","Amesite (NAS: AMST)","Detroit, MI","Detroit","MI","{""Artificial Intelligence & Machine Learning"",EdTech,SaaS,TMT}","2018-01-16",2018,1,"Series A",,"Early Stage VC",,,,,,"{161275-60}","{""Jeff Griffor""}","{""161275-60-Jeff Griffor""}","{""Jeff Griffor""}","{}","{}"
"228599-83","130146-40T","Amesite (NAS: AMST)","Detroit, MI","Detroit","MI","{""Artificial Intelligence & Machine Learning"",EdTech,SaaS,TMT}","2018-04-27",2018,2,,,"Early Stage VC",,,4.4,,,"{226941-67}","{""Montrose Capital Partners""}","{226941-67-None}","{NULL}","{}","{}"
"263103-13","153449-65T","Amesmachine","Torrance, CA","Torrance","CA","{}","2020-04-06",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"25304-50","177982-12T","AMETEK (NYS: AME)","Berwyn, PA","Berwyn","PA","{Industrials}","1930-07-01",1930,1,,,"IPO",,,,,,"{}","{}","{}","{}","{}","{}"
"482583-52","181782-46T","AMGO","Brooklyn, NY","Brooklyn","NY","{Mobile}","2020-05-07",2020,1,,,"Accelerator/Incubator",,,0.01,,,"{120935-71}","{""NYU Summer Launchpad""}","{120935-71-None}","{NULL}","{}","{}"
"355062-61","153367-57T","Amh Enterprises","Bridgeville, DE","Bridgeville","DE","{}","2020-04-29",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"347707-81","153277-12T","Amh Family Practice","Neligh, NE","Neligh","NE","{}","2020-04-03",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"168071-59","78277-51T","Amici Enterprises","Reno, NV","Reno","NV","{CleanTech,TMT}","2016-11-09",2016,1,,,"Angel (individual)",,,0.85,,,"{}","{}","{}","{}","{}","{}"
"134802-19","143289-55T","Amick Brown - Sap And Business Intelligence Consulting And Staffing","San Ramon, CA","SanRamon","CA","{Industrials}","2020-04-28",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"233667-46","122080-69T","Amira Learning","Seattle, WA","Seattle","WA","{""Artificial Intelligence & Machine Learning"",EdTech}","2019-05-16",2019,3,,,"Accelerator/Incubator",,,,,,"{52206-76}","{""NewSchools Venture Fund""}","{52206-76-None}","{NULL}","{}","{}"
"233667-46","122080-42T","Amira Learning","Seattle, WA","Seattle","WA","{""Artificial Intelligence & Machine Learning"",EdTech}","2018-11-12",2018,2,,,"Grant",,,0.01,,,"{62006-32}","{""BrightStar Wisconsin Foundation""}","{""62006-32-Thomas Shannon""}","{""Thomas Shannon""}","{}","{}"
"53735-32","20545-48T","Lumo Bodytech","Mountain View, CA","MountainView","CA","{""Digital Health"",TMT,""Wearables & Quantified Self""}","2011-09-14",2011,1,"Series A1","1st Round","Seed Round",1.19,1.34,0.15,11.16,1,"{51768-10}","{""Innovation Endeavors""}","{""51768-10-Eric Schmidt""}","{""Eric Schmidt""}","{14921-02F}","{""Innovation Endeavors I""}"
"59050-27","28572-85T","Adaptive Digital Power","Fremont, CA","Fremont","CA","{TMT}","2010-11-15",2010,2,"Series B","2nd Round","Early Stage VC",29.75,33.75,4,11.15,1,"{41337-82}","{""Fairchild Semiconductor International""}","{41337-82-None}","{NULL}","{}","{}"
"51525-55","47078-11T","CyOptics","Breinigsville, PA","Breinigsville","PA","{TMT}","2000-01-01",2000,2,"Series B","2nd Round","Early Stage VC",28.44,32,3.57,11.15,,"{}","{}","{}","{}","{}","{}"
"52731-73","27391-15T","InMage Systems","San Jose, CA","SanJose","CA","{Cybersecurity,SaaS,TMT}","2013-07-22",2013,5,"Series D","4th Round","Later Stage VC",59.62,67.1,7.48,11.15,1,"{54172-81}","{""Plug and Play Tech Center""}","{54172-81-None}","{NULL}","{}","{}"
"435251-62","184425-76T","Mixed Signal Devices","Irvine, CA","Irvine","CA","{""Advanced Manufacturing"",""Internet of Things""}","2021-11-30",2021,2,,"2nd Round","Early Stage VC",40,44.66,4.66,11.15,,"{}","{}","{}","{}","{}","{}"
"41158-54","75676-15T","INSpire Insurance Solutions (NAS: NSPR)","Fort Worth, TX","FortWorth","TX","{FinTech,Industrials,InsurTech,SaaS,TMT}","1999-10-26",1999,2,,,"Secondary Transaction - Open Market",,,8.7,11.13,1,"{12365-20}","{""Buena Venture Associates""}","{12365-20-None}","{NULL}","{}","{}"
"51654-88","87782-32T","Post Intelligence","San Francisco, CA","SanFrancisco","CA","{AdTech,""Artificial Intelligence & Machine Learning"",TMT}","2017-03-25",2017,3,"Series B","3rd Round","Later Stage VC",38.5,43.32,4.82,11.13,1,"{11227-60}","{""Khosla Ventures""}","{""11227-60-Alex Kinnier""}","{""Alex Kinnier""}","{14591-17F}","{""Khosla Ventures V""}"
"184280-86","92402-47T","AnsweriQ","Bellevue, WA","Bellevue","WA","{""Artificial Intelligence & Machine Learning"",""Big Data"",SaaS,TMT}","2017-04-12",2017,1,,"1st Round","Seed Round",4,4.5,0.5,11.11,,"{}","{}","{}","{}","{}","{}"
"51006-43","34394-05T","Aryaka","San Mateo, CA","SanMateo","CA","{""CloudTech & DevOps"",Mobile,SaaS,TMT}","2014-04-03",2014,4,"Series C","4th Round","Later Stage VC",80,90,10,11.11,5,"{11220-22,11248-21,11254-42,52243-57,11320-66}","{""InterWest Partners"",""Mohr Davidow Ventures"",""Nexus Venture Partners"",""Presidio Ventures"",""Trinity Ventures""}","{""11220-22-Khaled Nasr"",""11248-21-Jim Smith"",""11254-42-Narendra Gupta"",52243-57-None,""11320-66-Fred Wang""}","{""Khaled Nasr"",""Jim Smith"",""Narendra Gupta"",NULL,""Fred Wang""}","{11575-09F,11624-68F,11672-02F,11713-60F}","{""InterWest Partners X"",""MDV IX"",""Nexus India Capital II"",""Trinity Ventures X""}"
"175825-27","171724-96T","ColubrisMX","Houston, TX","Houston","TX","{HealthTech,""Robotics and Drones""}","2021-04-16",2021,3,"Series B1","3rd Round","Later Stage VC",100,112.5,12.5,11.11,,"{}","{}","{}","{}","{}","{}"
"433010-53","175703-41T","Confirm HR","San Jose, CA","SanJose","CA","{""HR Tech""}","2021-07-01",2021,2,"Series 2","2nd Round","Seed Round",24,27,3,11.11,,"{}","{}","{}","{}","{}","{}"
"110272-60","106978-51T","Gladly","San Francisco, CA","SanFrancisco","CA","{SaaS,TMT}","2018-05-07",2018,5,"Series D","4th Round","Later Stage VC",400,450,50,11.11,5,"{162804-25,11203-21,11201-77,11191-96,11251-81}","{""Future Funders"",""GGV Capital"",""Glynn Capital"",""Greylock Partners"",""New Enterprise Associates""}","{162804-25-None,""11203-21-Jeff Richards"",""11201-77-David Glynn"",""11191-96-Gerald Chen"",""11251-81-Ravi Viswanathan""}","{NULL,""Jeff Richards"",""David Glynn"",""Gerald Chen"",""Ravi Viswanathan""}","{14979-52F,13787-38F,15840-64F}","{""Glynn Partners IV"",""Greylock XIV"",""New Enterprise Associates 16""}"
"122434-30","74197-00T","Harmless Harvest","Oakland, CA","Oakland","CA","{E-Commerce,FoodTech}","2012-08-02",2012,1,"Series A","1st Round","Early Stage VC",20,22.5,2.5,11.11,,"{}","{}","{}","{}","{}","{}"
"10382-23","10149-67T","Mode Media","Brisbane, CA","Brisbane","CA","{AdTech,TMT}","2006-12-14",2006,3,"Series C","3rd Round","Later Stage VC",125.38,143.88,18.5,11.11,4,"{10139-41,11166-58,51262-93,11331-46}","{Accel,""Draper Fisher Jurvetson Management"",""Information Capital"",""Walden Venture Capital""}","{""10139-41-Theresia Gouw"",""11166-58-Timothy Draper"",51262-93-None,""11331-46-Arthur Berliner""}","{""Theresia Gouw"",""Timothy Draper"",NULL,""Arthur Berliner""}","{11374-03F,11077-39F,11317-87F}","{""Accel IX"",""DFJ Element"",""Walden Venture Capital II Fund""}"
"342168-49","126448-48T","Naturansa","San Francisco, CA","SanFrancisco","CA","{FoodTech,""Life Sciences"",""LOHAS & Wellness""}","2019-01-01",2019,2,,"1st Round","Seed Round",2,2.26,0.26,11.11,2,"{265403-71,101205-19}","{""Arya Women Investment Platform"",""Draper University""}","{265403-71-None,101205-19-None}","{NULL,NULL}","{}","{}"
"160708-60","127610-38T","NetraDyne","San Diego, CA","SanDiego","CA","{""Artificial Intelligence & Machine Learning"",""Mobility Tech"",""Supply Chain Tech"",TMT}","2020-04-09",2020,3,"Series B1","3rd Round","Early Stage VC",100,112.5,20.16,11.11,1,"{162077-68}","{""Hyundai CRADLE""}","{""162077-68-Ann Cheng""}","{""Ann Cheng""}","{}","{}"
"346487-68","147921-58T","Cloud Construction Co.","Temple, TX","Temple","TX","{}","2020-04-09",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"63989-11","128794-96T","Cloud Elements","Denver, CO","Denver","CO","{""CloudTech & DevOps"",SaaS,TMT}","2019-12-23",2019,6,,,"Later Stage VC",,,,,,"{}","{}","{}","{}","{}","{}"
"63989-11","154192-51T","Cloud Elements","Denver, CO","Denver","CO","{""CloudTech & DevOps"",SaaS,TMT}","2020-04-14",2020,7,,,"Debt - PPP",,,1.95,,,"{}","{}","{}","{}","{}","{}"
"63989-11","128794-78T","Cloud Elements","Denver, CO","Denver","CO","{""CloudTech & DevOps"",SaaS,TMT}","2018-11-13",2018,4,,,"Angel (individual)",,,7.6,,,"{}","{}","{}","{}","{}","{}"
"140418-64","144292-96T","Cloud Gehshan Associates","Philadelphia, PA","Philadelphia","PA","{}","2020-04-08",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"146286-28","109759-60T","Cloud9 Technologies","New York, NY","NewYork","NY","{FinTech,SaaS,TMT}","2018-07-31",2018,2,"Series B",,"Early Stage VC",,,14,,,"{25313-86,122216-05,489170-08,10018-18,86527-00}","{""Barclays (LON: BARC)"",""CME Ventures"",DealBench,""J.P. Morgan (NYS: JPM)"",""NEX Opportunities""}","{""25313-86-Kester Keating"",""122216-05-Brian Zboril"",489170-08-None,""10018-18-Rick Smith"",""86527-00-Steve Gibson""}","{""Kester Keating"",""Brian Zboril"",NULL,""Rick Smith"",""Steve Gibson""}","{}","{}"
"146286-28","137520-19T","Cloud9 Technologies","New York, NY","NewYork","NY","{FinTech,SaaS,TMT}","2020-06-04",2020,3,,,"Later Stage VC",,,17.5,,,"{25313-86,10018-18,10024-93}","{""Barclays (LON: BARC)"",""J.P. Morgan (NYS: JPM)"",""UBS Group (SWX: UBSG)""}","{""25313-86-Kester Keating"",""10018-18-Michael Elanjian"",""10024-93-Lee Fulmer""}","{""Kester Keating"",""Michael Elanjian"",""Lee Fulmer""}","{}","{}"
"146286-28","160583-95T","Cloud9 Technologies","New York, NY","NewYork","NY","{FinTech,SaaS,TMT}","2020-10-28",2020,4,,,"Secondary Transaction - Private",,,,,,"{}","{}","{}","{}","{}","{}"
"146286-28","68838-13T","Cloud9 Technologies","New York, NY","NewYork","NY","{FinTech,SaaS,TMT}","2016-10-12",2016,1,"Series A",,"Early Stage VC",,,30,,,"{25313-86,10018-18,167046-22,86527-00,170055-28}","{""Barclays (LON: BARC)"",""J.P. Morgan (NYS: JPM)"",""Michael Intrator"",""NEX Opportunities"",""Point72 Ventures""}","{""25313-86-Kester Keating"",""10018-18-Rick Smith"",""167046-22-Michael Intrator"",""86527-00-Steve Gibson"",""170055-28-Peter Casella""}","{""Kester Keating"",""Rick Smith"",""Michael Intrator"",""Steve Gibson"",""Peter Casella""}","{}","{}"
"53527-87","104431-42T","Cloudability","Portland, OR","Portland","OR","{""Artificial Intelligence & Machine Learning"",""Big Data"",""CloudTech & DevOps"",FinTech,TMT}","2018-04-01",2018,4,,,"Mezzanine",,,,,,"{11179-18}","{""Escalate Capital Partners""}","{11179-18-None}","{NULL}","{}","{}"
"53527-87","20051-11T","Cloudability","Portland, OR","Portland","OR","{""Artificial Intelligence & Machine Learning"",""Big Data"",""CloudTech & DevOps"",FinTech,TMT}","2011-12-22",2011,1,,,"Seed Round",,,1.23,,,"{124061-50,106046-20,56473-57,50933-44,11320-66,11331-46}","{""Angela Jackson"",""Ben Kepes"",""Portland Incubator Experiment"",Techstars,""Trinity Ventures"",""Walden Venture Capital""}","{""124061-50-Angela Jackson"",""106046-20-Ben Kepes"",56473-57-None,""50933-44-Jason Seats"",""11320-66-Karan Mehandru"",""11331-46-Matthew Miller""}","{""Angela Jackson"",""Ben Kepes"",NULL,""Jason Seats"",""Karan Mehandru"",""Matthew Miller""}","{}","{}"
"222472-00","97645-78T","Cloudacl","San Jose, CA","SanJose","CA","{""Big Data"",Cybersecurity,Industrials,Mobile,SaaS,TMT}",,,1,,,"Angel (individual)",,,,,,"{222472-99}","{""Qiang Li""}","{""222472-99-Qiang Li""}","{""Qiang Li""}","{}","{}"
"222472-00","159953-14T","Cloudacl","San Jose, CA","SanJose","CA","{""Big Data"",Cybersecurity,Industrials,Mobile,SaaS,TMT}",,,3,,,"Out of Business",,,,,,"{}","{}","{}","{}","{}","{}"
"222472-00","97644-97T","Cloudacl","San Jose, CA","SanJose","CA","{""Big Data"",Cybersecurity,Industrials,Mobile,SaaS,TMT}",,,2,,,"Accelerator/Incubator",,,,,,"{131914-63}","{""Hanhai Studio""}","{131914-63-None}","{NULL}","{}","{}"
"467059-96","173341-27T","Cloudbank","US","Unknown","US","{FinTech}",,,1,,,"PE Growth/Expansion",,,,,,"{99899-02}","{""New Forest""}","{99899-02-None}","{NULL}","{}","{}"
"101150-38","56856-16T","CloudBase3","Foster City, CA","FosterCity","CA","{Industrials,SaaS,TMT}","2014-01-07",2014,2,,,"Accelerator/Incubator",,,,,,"{103272-40}","{""Telos Ventures""}","{103272-40-None}","{NULL}","{}","{}"
"101150-38","82768-87T","CloudBase3","Foster City, CA","FosterCity","CA","{Industrials,SaaS,TMT}","2015-07-01",2015,3,,,"Out of Business",,,,,,"{}","{}","{}","{}","{}","{}"
"101150-38","56856-07T","CloudBase3","Foster City, CA","FosterCity","CA","{Industrials,SaaS,TMT}","2013-09-01",2013,1,,,"Seed Round",1.88,2,0.13,,,"{123411-97,123413-41,123412-87}","{""B. Scott Smith"",""Lynn Pierce"",""Randy DeBruyn""}","{""123411-97-B. Scott Smith"",""123413-41-Lynn Pierce"",""123412-87-Randy DeBruyn""}","{""B. Scott Smith"",""Lynn Pierce"",""Randy DeBruyn""}","{}","{}"
"437150-62","169304-59T","CloudEagle","Los Altos, CA","LosAltos","CA","{}","2020-01-01",2020,1,,,"Accelerator/Incubator",,,,,,"{416534-68}","{""Bronco Venture Accelerator""}","{416534-68-None}","{NULL}","{}","{}"
"83606-23","54685-27T","CloudeAssurance","Atlanta, GA","Atlanta","GA","{Cybersecurity,SaaS,TMT}","2014-05-01",2014,1,,,"Seed Round",,,0.8,,,"{54172-81}","{""Plug and Play Tech Center""}","{54172-81-None}","{NULL}","{}","{}"
"391457-44","146506-69T","Minnesota Women's Golf Association","Minneapolis, MN","Minneapolis","MN","{}","2020-04-15",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"397166-32","147050-56T","Minnesota Zoo Foundation","Saint Paul, MN","SaintPaul","MN","{}","2020-04-28",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"56845-00","58645-45T","Minute Media","New York, NY","NewYork","NY","{TMT}","2015-10-06",2015,4,"Series C",,"Later Stage VC",,,15,,,"{10052-20,42995-26,11197-00,60019-93,100464-85,10262-53}","{""Battery Ventures"",""Dawn Capital"",""Gemini Israel Ventures"",""Miroma Ventures"",""North Base Media"",""ProSiebenSat.1 Media (ETR: PSM)""}","{""10052-20-Itzik Parnafes"",""42995-26-Haakon Overli"",11197-00-None,60019-93-None,100464-85-None,""10262-53-Zeljko Karajica""}","{""Itzik Parnafes"",""Haakon Overli"",NULL,NULL,NULL,""Zeljko Karajica""}","{}","{}"
"56845-00","82428-13T","Minute Media","New York, NY","NewYork","NY","{TMT}","2017-02-14",2017,6,"Series E",,"Later Stage VC",,,15,,,"{10052-20,42995-26,10262-53,57256-66}","{""Battery Ventures"",""Dawn Capital"",""ProSiebenSat.1 Media (ETR: PSM)"",""Qumra Capital""}","{""10052-20-Itzik Parnafes"",""42995-26-Haakon Overli"",""10262-53-Zeljko Karajica"",""57256-66-Boaz Dinte""}","{""Itzik Parnafes"",""Haakon Overli"",""Zeljko Karajica"",""Boaz Dinte""}","{}","{}"
"56845-00","103753-27T","Minute Media","New York, NY","NewYork","NY","{TMT}","2018-05-15",2018,7,"Series F",,"Later Stage VC",200,213,13,,,"{10052-20,42995-26,11197-00,10765-99,100464-85,10262-53,57256-66,183359-08,10043-83,169157-08,11329-48}","{""Battery Ventures"",""Dawn Capital"",""Gemini Israel Ventures"",""Kreos Capital"",""North Base Media"",""ProSiebenSat.1 Media (ETR: PSM)"",""Qumra Capital"",""Remagine Ventures"",""The Goldman Sachs Group (NYS: GS)"",""UBS La Maison de Gestion"",""Vintage Investment Partners""}","{""10052-20-Itzik Parnafes"",""42995-26-Haakon Overli"",11197-00-None,10765-99-None,100464-85-None,""10262-53-Zeljko Karajica"",""57256-66-Boaz Dinte"",183359-08-None,""10043-83-Aaron Siegel"",169157-08-None,11329-48-None}","{""Itzik Parnafes"",""Haakon Overli"",NULL,NULL,NULL,""Zeljko Karajica"",""Boaz Dinte"",NULL,""Aaron Siegel"",NULL,NULL}","{}","{}"
"56845-00","131051-35T","Minute Media","New York, NY","NewYork","NY","{TMT}","2016-05-01",2016,5,"Series D",,"Later Stage VC",,,5,,,"{10052-20,42995-26,11197-00,55618-12}","{""Battery Ventures"",""Dawn Capital"",""Gemini Israel Ventures"",""Red Sea Ventures""}","{""10052-20-Itzik Parnafes"",""42995-26-Haakon Overli"",11197-00-None,55618-12-None}","{""Itzik Parnafes"",""Haakon Overli"",NULL,NULL}","{}","{}"
"56845-00","180771-49T","Minute Media","New York, NY","NewYork","NY","{TMT}",,,10,,,"Later Stage VC",,1000,48,,,"{54192-97,41531-23}","{FanDuel,""Wynn Resorts (NAS: WYNN)""}","{""54192-97-Adam Kaplan"",41531-23-None}","{""Adam Kaplan"",NULL}","{}","{}"
"56845-00","25831-63T","Minute Media","New York, NY","NewYork","NY","{TMT}","2013-05-07",2013,2,"Series A",,"Early Stage VC",,,5.8,,,"{10052-20,11197-00,10765-99}","{""Battery Ventures"",""Gemini Israel Ventures"",""Kreos Capital""}","{""10052-20-Itzik Parnafes"",11197-00-None,10765-99-None}","{""Itzik Parnafes"",NULL,NULL}","{}","{}"
"98813-44","38792-71T","Minute Movement","Kansas City, MO","KansasCity","MO","{TMT}","2014-01-08",2014,1,,,"Accelerator/Incubator",,,,,,"{56004-22}","{SparkLabKC}","{""56004-22-Kevin Fryer""}","{""Kevin Fryer""}","{}","{}"
"120586-78","119636-20T","Getaway","New York, NY","NewYork","NY","{""Real Estate Technology""}","2019-06-10",2019,3,"Series B","2nd Round","Early Stage VC",45,67.5,22.5,36.79,12,"{170245-90,60082-66,170245-99,64007-56,84837-16,150732-01,156257-02,56252-44,10238-95,98811-91,167131-36,114253-93}","{""Aaron Vomberg"",""Alumni Ventures Group"",""Charles Clinton"",Fueled,""Harvard i-lab"",""L Catterton"",""Rameet Chawla"",""Rough Draft Ventures"",""Starwood Capital Group"",""Tamarisc Ventures"",""The Graduate Syndicate"",""Tom Rutledge""}","{""170245-90-Aaron Vomberg"",""60082-66-Chris Sklarin"",""170245-99-Charles Clinton"",64007-56-None,84837-16-None,150732-01-None,""156257-02-Rameet Chawla"",56252-44-None,""10238-95-Barry Sternlicht"",98811-91-None,167131-36-None,""114253-93-Tom Rutledge""}","{""Aaron Vomberg"",""Chris Sklarin"",""Charles Clinton"",NULL,NULL,NULL,""Rameet Chawla"",NULL,""Barry Sternlicht"",NULL,NULL,""Tom Rutledge""}","{15927-22F,15159-07F,14059-63F,15604-57F,16115-95F,15927-49F}","{""Green D Ventures 4"",""L Catterton VIII"",""Rough Draft Ventures"",""Starwood Global Opportunities Fund XI"",""Tamarisc Fund II"",""The Yard Ventures 2""}"
"55618-75","26630-29T","Skillz ( Entertainment Software) (NYS: SKLZ)","San Francisco, CA","SanFrancisco","CA","{eSports,Gaming,TMT}","2013-08-14",2013,2,"Series A","2nd Round","Early Stage VC",11.7,18.5,6.8,36.76,,"{}","{}","{}","{}","{}","{}"
