"deal_id","co_id","co_name","co_hq","co_city","co_state","co_verticals","deal_date","deal_vintage","deal_number","deal_series","deal_vc_round","deal_type","deal_premoney","deal_postmoney","deal_size","deal_pct_acq","deal_investor_count","investor_id","investor_name","investor_gp_id","investor_gp","fund_id","fund_name"
"115140-97T","103152-88","Wavebid","Minneapolis, MN","Minneapolis","MN","{""CloudTech & DevOps"",SaaS}","2019-01-02",2019,1,,,"Buyout/LBO",,,,100,2,"{10116-01,64932-13}","{""Primus Capital"",Proxibid}","{""10116-01-Ronald Hess"",""64932-13-Ryan Downs""}","{""Ronald Hess"",""Ryan Downs""}","{13452-31F}","{""Primus Capital Fund VII""}"
"86244-76T","126443-98","Waveblue","Santa Monica, CA","SantaMonica","CA","{Industrials}","2007-11-29",2007,1,,,"Merger/Acquisition",,,,100,1,"{58265-02}","{""Parrot Drones (PAR: PARRO)""}","{""58265-02-Henri Seydoux""}","{""Henri Seydoux""}","{}","{}"
"79983-64T","26992-18","Wavecom Solutions","Honolulu, HI","Honolulu","HI","{TMT}","2012-12-31",2012,2,,,"Merger/Acquisition",,13,13,100,1,"{10314-19}","{""Hawaiian Telcom Holdco""}","{10314-19-None}","{NULL}","{}","{}"
"57164-32T","115441-75","ALCiS Health","Santa Clara, CA","SantaClara","CA","{Manufacturing}",,,2,,,"Bankruptcy: Liquidation",,,,,,"{}","{}","{}","{}","{}","{}"
"13881-70T","26992-18","Wavecom Solutions","Honolulu, HI","Honolulu","HI","{TMT}","2008-09-10",2008,1,,,"Buyout/LBO",,5,5,100,1,"{11294-65}","{""Seidler Equity Partners""}","{""11294-65-Peter Seidler""}","{""Peter Seidler""}","{11264-59F}","{""Seidler Equity Partners III""}"
"50463-91T","114166-27","Waveform Technology","Troy, MI","Troy","MI","{TMT}","2015-05-01",2015,1,,,"Merger/Acquisition",,,,100,1,"{114180-04}","{ManagedWay}","{""114180-04-Robert Sanders""}","{""Robert Sanders""}","{}","{}"
"86250-25T","100323-91","Wavefront","Palo Alto, CA","PaloAlto","CA","{""Big Data"",SaaS,TMT}","2017-05-19",2017,4,,,"Merger/Acquisition",,,,100,1,"{42018-58}","{""VMware (NYS: VMW)""}","{""42018-58-Ajay Singh""}","{""Ajay Singh""}","{}","{}"
"23280-76T","54064-63","Wavefront Technologies","Santa Barbara, CA","SantaBarbara","CA","{TMT}","1995-02-01",1995,2,,,"Merger/Acquisition",,,,100,1,"{41171-32}","{""Graphics Properties Holdings""}","{41171-32-None}","{NULL}","{}","{}"
"65485-63T","152875-54","Wavefront Technologies (Maryland)","Annapolis Junction, MD","AnnapolisJunction","MD","{""CloudTech & DevOps"",TMT}","2016-01-29",2016,1,,,"Merger/Acquisition",,37,37,100,1,"{42449-95}","{""Ball Aerospace & Technologies""}","{""42449-95-Robert Strain""}","{""Robert Strain""}","{}","{}"
"37013-68T","66423-43","WaveGroup Sound","Burlingame, CA","Burlingame","CA","{TMT}","2014-01-01",2014,1,,,"Merger/Acquisition",,,,100,1,"{10695-52}","{""Meta Platforms (NAS: FB)""}","{10695-52-None}","{NULL}","{}","{}"
"109562-77T","129792-88","Waveguide","Decatur, GA","Decatur","GA","{TMT}","2016-12-01",2016,1,,,"Merger/Acquisition",,,,100,1,"{135852-04}","{""Compass Group USA""}","{135852-04-None}","{NULL}","{}","{}"
"171626-14T","175894-66","WaveIP","Davie, FL","Davie","FL","{}","2021-05-04",2021,1,,,"Merger/Acquisition",,,,100,1,"{14619-25}","{""Telrad Networks (TAE: TLRD)""}","{""14619-25-Moti Elmaliach""}","{""Moti Elmaliach""}","{}","{}"
"97291-99T","187746-67","Waveland-BrandSafway","Eunice, LA","Eunice","LA","{}","2017-10-04",2017,1,,,"Buyout/LBO",,,,100,2,"{10512-37,10040-05}","{BrandSafway,""Clayton, Dubilier & Rice""}","{""10512-37-David Witsken"",10040-05-None}","{""David Witsken"",NULL}","{13593-52F}","{""Clayton, Dubilier & Rice Fund IX""}"
"38879-83T","98942-23","Wavelength (Wireless Service Providers)","Greenville, NC","Greenville","NC","{""Internet of Things"",TMT}","2010-01-01",2010,2,,,"Merger/Acquisition",,,,100,1,"{56328-58}","{""Pavlov Media""}","{""56328-58-Mark Scifres""}","{""Mark Scifres""}","{}","{}"
"114647-86T","235304-02","Wavelength Capital Management","New York, NY","NewYork","NY","{}","2018-12-13",2018,1,,,"Merger/Acquisition",,,,100,1,"{91294-39}","{""Global Trading Systems""}","{""91294-39-Ari Rubenstein""}","{""Ari Rubenstein""}","{}","{}"
"54871-75T","110212-30","Wavelength Strategies","New York, NY","NewYork","NY","{Industrials,""Life Sciences""}","2011-05-13",2011,1,,,"Merger/Acquisition",,,,100,1,"{50838-94}","{""Verto Partners""}","{""50838-94-Harry Gray""}","{""Harry Gray""}","{}","{}"
"21700-90T","40825-18","Wavelink","South Jordan, UT","SouthJordan","UT","{""CloudTech & DevOps"",Cybersecurity,Mobile,TMT}","2012-06-20",2012,5,,,"Buyout/LBO",,82,82,100,2,"{10586-53,10052-11}","{""Ivanti Software"",""Thoma Bravo""}","{""10586-53-Steve Daly"",""10052-11-Robert Sayle""}","{""Steve Daly"",""Robert Sayle""}","{11624-77F}","{""Thoma Bravo Fund IX""}"
"126094-15T","51755-50","Wavemaker Partners","Santa Monica, CA","SantaMonica","CA","{}","2019-11-11",2019,5,,,"Merger/Acquisition",,3.33,3.33,100,1,"{103785-49}","{""Xurpas (PHS: X)""}","{103785-49-None}","{NULL}","{}","{}"
"19556-47T","53288-29","WaveMaker Software","San Francisco, CA","SanFrancisco","CA","{TMT}","2011-03-08",2011,9,,,"Merger/Acquisition",,,,100,1,"{42018-58}","{""VMware (NYS: VMW)""}","{42018-58-None}","{NULL}","{}","{}"
"23244-67T","54064-90","Wavemakers","Richmond, VA","Richmond","VA","{""Artificial Intelligence & Machine Learning"",TMT}","2003-07-10",2003,2,,,"Merger/Acquisition",,,,100,1,"{10440-01}","{""Harman International Industries""}","{10440-01-None}","{NULL}","{}","{}"
"33742-63T","50934-25","WaveMark (US)","Concord, MA","Concord","MA","{""Internet of Things"",TMT}","2013-08-27",2013,7,,,"Merger/Acquisition",,,,100,1,"{14203-99}","{""Cardinal Health (NYS: CAH)""}","{14203-99-None}","{NULL}","{}","{}"
"30612-07T","60562-99","Wavemark Technologies","Burlington, MA","Burlington","MA","{SaaS,TMT}","2000-06-06",2000,2,,,"Merger/Acquisition",,30,30,100,1,"{51601-60}","{""Motorola Mobility""}","{""51601-60-Chris Lynes""}","{""Chris Lynes""}","{}","{}"
"68790-25T","154593-55","WAVEnet Technologies","Pensacola, FL","Pensacola","FL","{TMT}","2011-05-17",2011,1,,,"Merger/Acquisition",,,,100,1,"{107607-70}","{""Technology Integration Group""}","{""107607-70-Bruce Geier""}","{""Bruce Geier""}","{}","{}"
"152462-89T","236084-86","Aldersly Retirement Community","San Rafael, CA","SanRafael","CA","{}","2020-04-14",2020,1,,,"Debt - PPP",,,,,,"{}","{}","{}","{}","{}","{}"
"178491-52T","471660-67","WavePoint (Peripheral Support Catheters)","UT","Unknown","UT","{}","2021-03-22",2021,1,,,"Corporate Asset Purchase",,3.35,3.35,100,1,"{13314-79}","{""Cardiovascular Systems (NAS: CSII)""}","{""13314-79-Scott Ward""}","{""Scott Ward""}","{}","{}"
"100271-80T","175558-24","WavePost","Quincy, MA","Quincy","MA","{Mobile,TMT}","2017-12-19",2017,2,,,"Merger/Acquisition",,,,100,1,"{224169-85}","{""Evolphin Software""}","{""224169-85-Brian Ahearn""}","{""Brian Ahearn""}","{}","{}"
"13365-55T","13221-82","Waverly (Home Furnishings)","New York, NY","NewYork","NY","{}","2008-10-03",2008,2,,,"Merger/Acquisition",,29.01,29.01,100,1,"{11681-65}","{""Iconix Brand Group""}","{11681-65-None}","{NULL}","{}","{}"
"11712-97T","13221-82","Waverly (Home Furnishings)","New York, NY","NewYork","NY","{}","2007-05-02",2007,1,,,"Buyout/LBO",,36.8,36.8,100,1,"{13221-19}","{""NexCen Brands""}","{""13221-19-Robert D'Loren""}","{""Robert D'Loren""}","{}","{}"
"66484-09T","119887-39","Waverly Landscape Associates","Belmont, MA","Belmont","MA","{}","2010-06-08",2010,1,,,"Buyout/LBO",,,,100,2,"{10521-55,10733-05}","{""MSD Capital"",""Valleycrest Companies""}","{""10521-55-Eric Rosen"",""10733-05-Richard Sperber""}","{""Eric Rosen"",""Richard Sperber""}","{}","{}"
"65310-04T","13145-59","Waverly Place","New York, NY","NewYork","NY","{}",,,2,,,"Corporate Asset Purchase",,,,100,,"{}","{}","{}","{}","{}","{}"
"11602-90T","13145-59","Waverly Place","New York, NY","NewYork","NY","{}","2006-03-01",2006,1,,,"Buyout/LBO",,,,100,2,"{10013-77,12889-54}","{Arcapita,""Arcapita US Residential Developmental III""}","{10013-77-None,12889-54-None}","{NULL,NULL}","{}","{}"
"155623-51T","438624-64","Waves Salon","Albuquerque, NM","Albuquerque","NM","{}","2007-01-01",2007,1,,,"Merger/Acquisition",,,,100,,"{}","{}","{}","{}","{}","{}"
"92259-64T","58353-85","Waveseis","Denver, CO","Denver","CO","{""Oil & Gas"",TMT}","2017-04-03",2017,2,,,"Merger/Acquisition",,,,100,1,"{59417-83}","{""Spectrum (Oslo)""}","{""59417-83-Jans Schoolmeesters""}","{""Jans Schoolmeesters""}","{}","{}"
"19769-41T","53364-52","Waveset","Austin, TX","Austin","TX","{Cybersecurity,TMT}","2003-12-10",2003,5,,,"Merger/Acquisition",,,,100,1,"{10596-52}","{""Sun Microsystems""}","{10596-52-None}","{NULL}","{}","{}"
"23703-49T","12878-74","Wavesmith Networks","Acton, MA","Acton","MA","{Manufacturing,TMT}","2003-06-16",2003,5,,,"Merger/Acquisition",,156.85,156.85,100,1,"{42461-83}","{""Ciena (NYS: CIEN)""}","{42461-83-None}","{NULL}","{}","{}"
"25007-59T","42935-23","WaveSpan","Mountain View, CA","MountainView","CA","{""Artificial Intelligence & Machine Learning"",Manufacturing,TMT}","1999-12-28",1999,3,,,"Merger/Acquisition",,,,100,1,"{41454-46}","{Proxim}","{41454-46-None}","{NULL}","{}","{}"
"24947-29T","51122-17","Wavestream","San Dimas, CA","SanDimas","CA","{Manufacturing,TMT}","2010-10-13",2010,7,,,"Merger/Acquisition",,134.51,134.51,100,1,"{10717-75}","{""Gilat Satellite Networks (NAS: GILT)""}","{10717-75-None}","{NULL}","{}","{}"
"138073-51T","333757-18","WaveStrike","Crownsville, MD","Crownsville","MD","{""Big Data""}","2020-06-10",2020,1,,,"Buyout/LBO",,,,100,2,"{54105-76,10048-15}","{Novetta,""The Carlyle Group (NAS: CG)""}","{""54105-76-Tiffanny Gates"",""10048-15-Ian Fujiyama""}","{""Tiffanny Gates"",""Ian Fujiyama""}","{13440-79F}","{""Carlyle Partners VI""}"
"51322-24T","97570-81","WaveTwo","Irving, TX","Irving","TX","{HealthTech,SaaS,TMT}","2012-08-23",2012,1,,,"Merger/Acquisition",,,,100,1,"{43096-78}","{""All Covered""}","{""43096-78-Todd Croteau""}","{""Todd Croteau""}","{}","{}"
"25587-82T","53433-28","Wavii","Seattle, WA","Seattle","WA","{TMT}","2013-04-23",2013,3,,,"Merger/Acquisition",,30,30,100,1,"{10453-33}","{""Alphabet (NAS: GOOGL)""}","{10453-33-None}","{NULL}","{}","{}"
"36257-41T","64335-34","WAVO-Satellite Network","Phoenix, AZ","Phoenix","AZ","{Industrials,Infrastructure}","2000-10-12",2000,1,,,"Merger/Acquisition",,14.5,14.5,100,1,"{64318-69}","{Cidera}","{64318-69-None}","{NULL}","{}","{}"
"63780-85T","121208-77","WavSpeed","Palmer, TX","Palmer","TX","{TMT}","2009-10-29",2009,1,,,"Merger/Acquisition",,,,100,1,"{90805-96}","{""TierOne Converged Networks""}","{""90805-96-Kevin Weaver""}","{""Kevin Weaver""}","{}","{}"
"121417-57T","231409-90","Wavy Music","Berkeley, CA","Berkeley","CA","{""Augmented Reality"",Mobile}","2019-01-07",2019,2,,,"Merger/Acquisition",,,,100,1,"{187987-24}","{Ubiquity6}","{""187987-24-Anjney Midha""}","{""Anjney Midha""}","{}","{}"
"96785-83T","59538-70","Wawel Bank","Garfield, NJ","Garfield","NJ","{}","2018-03-26",2018,3,,,"Merger/Acquisition",,3.3,3.3,100,1,"{221995-27}","{""Spencer Savings Bank""}","{""221995-27-José Guerrero""}","{""José Guerrero""}","{}","{}"
"55487-53T","120469-42","Green Garden Food Products","Kent, WA","Kent","WA","{}","2010-06-21",2010,1,,,"Merger/Acquisition",,,,100,1,"{109753-84}","{""Litehouse Foods""}","{""109753-84-Jim Frank""}","{""Jim Frank""}","{}","{}"
"89639-02T","182477-71","Wawona Packing","Fresno, CA","Fresno","CA","{}","2017-05-04",2017,1,,,"Buyout/LBO",,,,100,2,"{10142-47,11338-39}","{""Paine Schwartz Partners"",""WP Global Partners""}","{""10142-47-Kevin Schwartz"",11338-39-None}","{""Kevin Schwartz"",NULL}","{16065-73F,13907-62F}","{""COREalpha Private Equity Partners Co-Investment Fund V"",""Paine Schwartz Food Chain Fund IV""}"
"179132-59T","471788-56","Wax Center Partners","Roseville, CA","Roseville","CA","{}","2021-05-18",2021,1,,,"Buyout/LBO",,,,100,1,"{437292-64}","{""MKH Capital Partners""}","{""437292-64-Annette Rodriguez-Ferrer""}","{""Annette Rodriguez-Ferrer""}","{17896-60F}","{""MKH Capital Partners Fund I""}"
"70449-67T","128129-50","Wax Data","Annandale, NJ","Annandale","NJ","{""Oil & Gas"",TMT}","2014-03-12",2014,1,,,"Corporate Asset Purchase",,,,100,1,"{61189-30}","{""Argus Media""}","{""61189-30-Adrian Binks""}","{""Adrian Binks""}","{}","{}"
"77440-51T","167449-96","Waxie Maxie Quality Music Company","WA","Unknown","WA","{TMT}","1989-11-30",1989,1,,,"Merger/Acquisition",,11.7,11.7,100,1,"{86660-74}","{""Live Entertainment Network, Inc.""}","{""86660-74-Roger Smith""}","{""Roger Smith""}","{}","{}"
"133829-83T","184020-94","Waxie Sanitary","San Diego, CA","SanDiego","CA","{CleanTech,Manufacturing,TMT}","2020-05-15",2020,1,,,"Merger/Acquisition",,,,100,1,"{43136-29}","{""Fomento Economico Mexicano (MEX: FEMSAD)""}","{43136-29-None}","{NULL}","{}","{}"
"22742-83T","55608-76","Waxing the City","Denver, CO","Denver","CO","{}","2012-10-09",2012,1,,,"Buyout/LBO",,,,100,4,"{42510-70,10250-47,11596-24,10143-55}","{""Anytime Fitness"",""First Eagle Alternative Credit"",""Partnership Capital Growth"",""Roark Capital Group""}","{""42510-70-Chuck Runyon"",10250-47-None,""11596-24-Brian Smith"",""10143-55-Erik Morris""}","{""Chuck Runyon"",NULL,""Brian Smith"",""Erik Morris""}","{12984-13F,11454-22F}","{""Partnership Capital Growth Fund II"",""Roark Capital Partners II""}"
"36456-76T","65644-03","Waxler Towing Company","Memphis, TN","Memphis","TN","{Industrials}","2007-03-13",2007,1,,,"Merger/Acquisition",,32,32,100,1,"{12650-14}","{""SEACOR Holdings""}","{12650-14-None}","{NULL}","{}","{}"
"158552-92T","443092-33","Waxxpot","Columbus, OH","Columbus","OH","{}","2015-01-01",2015,1,,,"Merger/Acquisition",,,,100,,"{}","{}","{}","{}","{}","{}"
"171786-52T","51382-00","Way Cool Imports","Star, ID","Star","ID","{}","2014-04-22",2014,3,,,"Merger/Acquisition",,,,100,1,"{55100-17}","{QuantumSphere}","{55100-17-None}","{NULL}","{}","{}"
"119786-86T","268139-98","Way Interglobal Network","Elkhart, IN","Elkhart","IN","{}","2019-06-05",2019,1,,,"Buyout/LBO",,,,100,1,"{57535-21}","{""Next Sparc Growth Partners""}","{""57535-21-Len Pagon""}","{""Len Pagon""}","{}","{}"
"35632-72T","62727-67","Way Out West Records","Nashville, TN","Nashville","TN","{TMT}","2013-04-23",2013,1,,,"Merger/Acquisition",,,,100,1,"{64171-36}","{""Big Sky Media Nashville""}","{64171-36-None}","{NULL}","{}","{}"
"17227-45T","50932-00","WAY Systems","Woburn, MA","Woburn","MA","{Mobile,""Mobile Commerce"",TMT}","2010-09-01",2010,6,,,"Merger/Acquisition",,6,6,100,1,"{12082-33}","{VeriFone}","{12082-33-None}","{NULL}","{}","{}"
"176927-41T","470574-73","Way to Grow (Colorado)","Fort Collins, CO","FortCollins","CO","{}","2021-07-21",2021,1,,,"Buyout/LBO",,,,100,2,"{40427-29,92669-50}","{""Broadband Capital Management"",HydroBuilder}","{""40427-29-Michael Rapoport"",""92669-50-Mark Hockenson""}","{""Michael Rapoport"",""Mark Hockenson""}","{13866-31F}","{""BHM Funding""}"
"69720-22T","158310-10","Way2cool","Rockville, MD","Rockville","MD","{Industrials}","2016-03-31",2016,1,,,"Merger/Acquisition",,,,100,1,"{158318-92}","{""Calibre International""}","{""158318-92-Dan Oas""}","{""Dan Oas""}","{}","{}"
"66491-83T","153902-71","Waybury","San Francisco, CA","SanFrancisco","CA","{""3D Printing"",SaaS,TMT}","2016-02-16",2016,2,,,"Merger/Acquisition",,,,100,1,"{53898-76}","{""InVision (Multimedia and Design Software)""}","{""53898-76-Leah Taylor""}","{""Leah Taylor""}","{}","{}"
"177959-53T","181062-73","WayCare","Sherman Oaks, CA","ShermanOaks","CA","{""Artificial Intelligence & Machine Learning"",Mobile,""Mobility Tech"",SaaS,TMT}","2021-08-18",2021,7,,,"Merger/Acquisition",,61,61,100,1,"{185649-40}","{""Rekor Systems (NAS: REKR)""}","{""185649-40-Robert Berman""}","{""Robert Berman""}","{}","{}"
"54873-73T","110135-35","Waycross Railcar","Waycross, GA","Waycross","GA","{Industrials}","2011-02-26",2011,1,,,"Merger/Acquisition",,,,100,1,"{121177-99}","{""CF Rail Services""}","{""121177-99-Shad Peterson""}","{""Shad Peterson""}","{}","{}"
"57723-04T","124316-29","Waydell 32-38","Newark, NJ","Newark","NJ","{}","2015-08-17",2015,1,,,"Merger/Acquisition",,,,100,1,"{124336-63}","{""T.A.G. Acquisitions""}","{124336-63-None}","{NULL}","{}","{}"
"15560-56T","10390-42","Wayfarer Aviation","Harrison, NY","Harrison","NY","{Industrials}","2009-05-01",2009,4,,,"Buyout/LBO",,,,100,2,"{10235-89,55904-59}","{""Brantley Partners"",""Brookside Capital Partners""}","{""10235-89-Robert Pinkas"",55904-59-None}","{""Robert Pinkas"",NULL}","{}","{}"
"30969-46T","59284-27","Wayfarer Communications","Mountain View, CA","MountainView","CA","{SaaS,TMT}","1998-06-18",1998,3,,,"Merger/Acquisition",,,,100,1,"{52933-06}","{""Vantive (NAS: VNTV)""}","{""52933-06-John Luongo""}","{""John Luongo""}","{}","{}"
"53405-38T","119615-05","Wayfarer Marine","Camden, ME","Camden","ME","{}","2015-06-30",2015,1,,,"Merger/Acquisition",,,,100,1,"{119623-15}","{""Lyman-Morse Boatbuilding""}","{119623-15-None}","{NULL}","{}","{}"
"118985-14T","167071-15","Wayfarer Studios","Los Angeles, CA","LosAngeles","CA","{FoodTech,TMT}","2019-01-30",2019,3,,,"Merger/Acquisition",,10,10,100,1,"{267467-68}","{""4S Bay""}","{267467-68-None}","{NULL}","{}","{}"
"172334-35T","181871-47","Wayforward","New York, NY","NewYork","NY","{""Artificial Intelligence & Machine Learning"",HealthTech}","2021-06-07",2021,6,,,"Merger/Acquisition",,27.8,27.8,100,1,"{55550-08}","{""DarioHealth (NAS: DRIO)""}","{""55550-08-Erez Raphael""}","{""Erez Raphael""}","{}","{}"
"120676-24T","52977-70","Wayin","Denver, CO","Denver","CO","{""Marketing Tech"",Mobile,TMT}","2019-07-10",2019,6,,,"Merger/Acquisition",,,,100,1,"{179326-36}","{""Cheetah Digital""}","{""179326-36-Sameer Kazi""}","{""Sameer Kazi""}","{}","{}"
"130765-33T","186377-50","Waylo","Berkeley, CA","Berkeley","CA","{Mobile,TMT}","2020-01-28",2020,4,,,"Merger/Acquisition",,,,100,1,"{53935-66}","{""eDreams ODIGEO (XMAD: EDR)""}","{""53935-66-Dana Dunne""}","{""Dana Dunne""}","{}","{}"
"111539-35T","168362-65","Waylon Co","Saint Louis, MO","SaintLouis","MO","{}","2000-08-14",2000,1,,,"Merger/Acquisition",,,,100,1,"{25330-87}","{""The Interpublic Group of Companies (NYS: IPG)""}","{25330-87-None}","{NULL}","{}","{}"
"55484-74T","122117-32","Waymark Insurance Services","Las Vegas, NV","LasVegas","NV","{Industrials}","2015-08-13",2015,1,,,"Merger/Acquisition",,,,100,1,"{113055-13}","{""Brown & Brown Insurance of Nevada""}","{""113055-13-Brian Cruden""}","{""Brian Cruden""}","{}","{}"
"109880-02T","123273-46","Waymart Water Company","Waymart, PA","Waymart","PA","{}","2000-12-21",2000,1,,,"Merger/Acquisition",,,,100,1,"{165927-52}","{""Aqua Pennsylvania""}","{165927-52-None}","{NULL}","{}","{}"
"98171-02T","161505-19","Wayn-Tex","Waynesboro, VA","Waynesboro","VA","{Manufacturing}","1992-01-01",1992,2,,,"Merger/Acquisition",,,,100,,"{}","{}","{}","{}","{}","{}"
"98171-38T","161505-19","Wayn-Tex","Waynesboro, VA","Waynesboro","VA","{Manufacturing}","2005-02-04",2005,3,,,"Merger/Acquisition",,,,100,1,"{41119-84}","{""Mohawk Industries (NYS: MHK)""}","{""41119-84-Jeffrey Lorberbaum""}","{""Jeffrey Lorberbaum""}","{}","{}"
"98170-84T","161505-19","Wayn-Tex","Waynesboro, VA","Waynesboro","VA","{Manufacturing}","1988-01-01",1988,1,,,"Merger/Acquisition",,,,100,1,"{150942-16}","{""Dominion Textile""}","{150942-16-None}","{NULL}","{}","{}"
"167878-99T","279336-97","Wayne Auto Salvage","Goldsboro, NC","Goldsboro","NC","{}","2021-03-04",2021,1,,,"Buyout/LBO",,,,100,2,"{462322-45,277710-31}","{""Aesop Auto Parts"",""American Pacific Group""}","{462322-45-None,""277710-31-Fraser Preston""}","{NULL,""Fraser Preston""}","{17030-89F}","{""American Pacific Group Fund I""}"
"76497-76T","166800-61","Wayne Bank (West Scranton Branch)","Scranton, PA","Scranton","PA","{}","2016-09-30",2016,1,,,"Merger/Acquisition",,,,100,2,"{41421-25,41138-11}","{""Fidelity D & D Bancorp (NAS: FDBC)"",""Norwood Financial (NAS: NWFL)""}","{""41421-25-Daniel Santaniello"",""41138-11-Lewis Critelli""}","{""Daniel Santaniello"",""Lewis Critelli""}","{}","{}"
"125776-72T","340759-99","Wayne CountryView Care and Rehabilitation","Wayne, NE","Wayne","NE","{}","2011-01-01",2011,1,,,"Merger/Acquisition",,,,100,1,"{42018-49}","{""The Ensign Group (NAS: ENSG)""}","{""42018-49-Barry Port""}","{""Barry Port""}","{}","{}"
"69810-04T","158407-21","Wayne County Publications","Wayne, WV","Wayne","WV","{Industrials,TMT}","2014-08-06",2014,2,,,"Merger/Acquisition",,,,100,1,"{11892-25}","{""The Herald-Dispatch""}","{11892-25-None}","{NULL}","{}","{}"
